	"output/RSEM/NGS128_S21.genes.results"	"output/RSEM/NGS130_S23.genes.results"
"100009600"	0.00	0.00
"100009609"	0.00	0.00
"100009614"	0.00	0.00
"100012"	0.00	0.00
"100017"	0.00	0.00
"100019"	1.00	2.00
"100033459"	0.00	0.00
"100034251"	0.00	0.00
"100034361"	184.00	0.00
"100034363"	0.00	0.00
"100034684"	0.00	0.00
"100034729"	0.00	0.00
"100034748"	0.00	0.00
"100036518"	0.00	0.00
"100036521"	0.00	0.00
"100037258"	0.00	0.00
"100037278"	0.00	0.00
"100037282"	0.00	0.00
"100037283"	0.00	0.00
"100038347"	0.00	0.00
"100038417"	0.00	0.00
"100038489"	0.00	0.00
"100038538"	0.00	0.00
"100038570"	0.00	0.00
"100038657"	0.00	0.00
"100038725"	0.00	0.00
"100038847"	0.00	0.00
"100038854"	0.00	0.00
"100038859"	0.00	0.00
"100038860"	0.00	0.00
"100038862"	0.00	0.00
"100038882"	0.00	0.00
"100038927"	0.00	0.00
"100038941"	0.00	0.00
"100038947"	0.00	0.00
"100038948"	0.00	0.00
"100038949"	0.00	0.00
"100038977"	0.00	0.00
"100039008"	0.00	0.00
"100039028"	0.00	0.00
"100039030"	0.00	0.00
"100039042"	0.00	0.00
"100039045"	0.00	0.00
"100039054"	0.00	0.00
"100039060"	0.00	0.00
"100039065"	0.00	0.00
"100039087"	0.00	0.00
"100039089"	0.00	0.00
"100039116"	0.00	0.00
"100039120"	0.00	0.00
"100039123"	0.00	0.00
"100039139"	0.00	0.00
"100039150"	0.00	0.00
"100039175"	0.00	0.00
"100039177"	0.00	0.00
"100039192"	0.00	0.00
"100039206"	0.00	0.00
"100039213"	0.00	0.00
"100039227"	0.00	0.00
"100039240"	0.00	0.00
"100039246"	0.00	0.00
"100039257"	0.00	0.00
"100039280"	0.00	0.00
"100039293"	0.00	0.00
"100039315"	0.00	0.00
"100039319"	0.00	0.00
"100039324"	0.00	0.00
"100039377"	0.00	0.00
"100039441"	0.00	0.00
"100039467"	0.00	0.00
"100039550"	0.00	0.00
"100039551"	0.00	0.00
"100039574"	0.00	0.00
"100039585"	0.00	0.00
"100039596"	0.00	0.00
"100039614"	0.00	0.00
"100039672"	0.00	0.00
"100039707"	0.00	0.00
"100039753"	0.00	0.00
"100039781"	0.00	0.00
"100039795"	0.00	0.00
"100039796"	0.00	0.00
"100039801"	0.00	0.00
"100039810"	0.00	0.00
"100039863"	0.00	0.00
"100039890"	0.00	0.00
"100039913"	0.00	0.00
"100039934"	0.00	0.00
"100039948"	0.00	0.00
"100039953"	0.00	0.00
"100039968"	0.00	0.00
"100040016"	0.00	0.00
"100040022"	0.00	0.00
"100040031"	0.00	0.00
"100040048"	0.00	0.00
"100040049"	0.00	0.00
"100040160"	0.00	0.00
"100040201"	0.00	0.00
"100040208"	0.00	0.00
"100040214"	0.00	0.00
"100040223"	0.00	0.00
"100040233"	0.00	0.00
"100040248"	0.00	0.00
"100040268"	0.00	0.00
"100040276"	0.00	0.00
"100040299"	0.00	0.00
"100040462"	0.00	0.00
"100040482"	0.00	0.00
"100040531"	0.00	0.00
"100040533"	0.00	0.00
"100040563"	0.00	0.00
"100040591"	0.00	0.00
"100040599"	0.00	0.00
"100040606"	0.00	0.00
"100040608"	0.00	0.00
"100040635"	0.00	0.00
"100040671"	0.00	0.00
"100040698"	0.00	0.00
"100040722"	0.00	0.00
"100040732"	0.00	0.00
"100040766"	0.00	0.00
"100040786"	0.00	0.00
"100040843"	0.00	0.00
"100040854"	0.00	0.00
"100040861"	0.00	0.00
"100040867"	0.00	0.00
"100040894"	0.00	0.00
"100040911"	0.00	0.00
"100040937"	0.00	0.00
"100040972"	0.00	0.00
"100041077"	0.00	0.00
"100041096"	0.00	0.00
"100041102"	0.00	0.00
"100041151"	0.00	0.00
"100041187"	0.00	0.00
"100041223"	0.00	0.00
"100041230"	0.00	0.00
"100041250"	0.00	0.00
"100041253"	0.00	0.00
"100041256"	0.00	0.00
"100041261"	0.00	0.00
