"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","gene_id","ccds_id"
"CCDS14904.1|Mm108|chr1",27.8572370486911,4.79998026977482,1.99304352124203,2.40836701186714,0.0160240631463577,0.0192158480820143,"Rpl31",114641,"CCDS14904.1"
"CCDS15012.1|Mm108|chr1",144.971335661555,7.17962386251847,2.15594471528097,3.33015211922203,0.000867985500355665,0.00149740188657849,"Crygc",12966,"CCDS15012.1"
"CCDS15086.1|Mm108|chr1",7113.42047298516,12.796327728164,2.29408112900431,5.57797523652443,2.43334284645102e-08,1.66938637140244e-07,"Utp14b",195434,"CCDS15086.1"
"CCDS15354.1|Mm108|chr1",19.5527751181927,4.28930147812959,1.60497059971297,2.6725109350269,0.00752859207313424,0.0103781993531523,"Pdc",20028,"CCDS15354.1"
"CCDS15494.1|Mm108|chr1",5.22348194840745,2.3850118211714,1.22382979105265,1.94881007032848,0.0513181107001981,0.0527485806848726,"Arhgap30",226652,"CCDS15494.1"
"CCDS15509.1|Mm108|chr1",21.000774365747,4.3923706205419,1.61313828970323,2.72287295427719,0.00647169399868668,0.00909118918863129,"Dcaf8",98193,"CCDS15509.1"
"CCDS15572.1|Mm108|chr1",1480.4131688733,10.5317841588252,2.37946488604318,4.42611455230953,9.59455865687603e-06,2.80237109284993e-05,"Acbd3",170760,"CCDS15572.1"
"CCDS15947.1|Mm108|chr2",47.1867484702318,5.56030985700653,2.09279808766686,2.65687831510081,0.00788679049123447,0.0107216737092819,"Pbx3",18516,"CCDS15947.1"
"CCDS16002.1|Mm108|chr2",1188.249860669,10.2146225171358,2.12047366228613,4.81714189560985,1.4562912966115e-06,5.05418744118109e-06,"Rabgap1",227800,"CCDS16002.1"
"CCDS16190.1|Mm108|chr2",4513.13951831824,12.1399156630961,2.08399604429468,5.82530648094621,5.70078834477087e-09,5.25541425533564e-08,"Zdhhc5",228136,"CCDS16190.1"
"CCDS16481.1|Mm108|chr2",102.588682908154,6.6807277782946,1.94502009198821,3.43478599825955,0.000593021938621321,0.00107326056376251,"Caprin1",53872,"CCDS16481.1"
"CCDS16602.1|Mm108|chr2",938.14967211842,9.87367429801355,1.89441003891118,5.21200484330652,1.86810670871896e-07,8.74748379479513e-07,"Ino80",68142,"CCDS16602.1"
"CCDS16648.1|Mm108|chr2",3780.35601181995,11.8843063900877,2.0826847853998,5.70624343798927,1.15496781831769e-08,9.46431962232552e-08,"Mfap1a",67532,"CCDS16648.1"
"CCDS16777.1|Mm108|chr2",36444.209216883,15.1534019760556,2.9012748132727,5.22301503695274,1.76033089239987e-07,8.37576795577359e-07,"Chgb",12653,"CCDS16777.1"
"CCDS16788.1|Mm108|chr2",11.4017977554385,3.51118941123999,1.41528464703885,2.48090687522565,0.0131048605358475,0.0162434195717438,"Plcb4",18798,"CCDS16788.1"
"CCDS16811.1|Mm108|chr2",7127.58522754799,12.7991976698426,2.01193527582586,6.3616349012961,1.99617477887318e-10,3.68044724854743e-09,"Bfsp1",12075,"CCDS16811.1"
"CCDS16938.1|Mm108|chr2",12169.9745578988,13.571038531559,2.3169866949048,5.85719312130823,4.7075559618702e-09,4.62909669583903e-08,"Chmp4b",75608,"CCDS16938.1"
"CCDS16982.1|Mm108|chr2",646.144056660119,9.33571203682983,2.13526429202084,4.37215761613958,1.23024655468694e-05,3.36039568178376e-05,"Ctnnbl1",66642,"CCDS16982.1"
"CCDS17056.1|Mm108|chr2",754.685509724996,9.55973176390502,1.87555474633118,5.09701558037964,3.4504994008462e-07,1.45413903321376e-06,"Tnnc2",21925,"CCDS17056.1"
"CCDS17338.1|Mm108|chr3",5241.1250293702,12.3556608101807,2.06738402351195,5.97647107149045,2.28023022617126e-09,2.58718429507893e-08,"Mgarp",67749,"CCDS17338.1"
"CCDS17433.1|Mm108|chr3",6.10296615415179,2.60951058953096,1.26801710840195,2.0579458843577,0.0395953284470856,0.0421683100790261,"Plrg1",53317,"CCDS17433.1"
"CCDS17442.2|Mm108|chr3",7.62631505458538,2.93098613220476,1.30878501113909,2.23947104166008,0.0251252834790971,0.0279696551937118,"Fam160a1",229488,"CCDS17442.2"
"CCDS17596.1|Mm108|chr3",967.044086118847,9.91743785132299,2.40477784020784,4.12405573833209,3.72258747969792e-05,8.78530645208709e-05,"Pogz",229584,"CCDS17596.1"
"CCDS17629.1|Mm108|chr3",86.4142863551233,6.4331979391032,2.14972432539318,2.99256879736269,0.00276640307754814,0.00420664385503454,"Otud7b",229603,"CCDS17629.1"
"CCDS17683.1|Mm108|chr3",10954.1582551853,13.4191910078551,2.36706421596883,5.66912841541253,1.43525765692242e-08,1.11421318103188e-07,"Atp1a1",11928,"CCDS17683.1"
"CCDS17809.1|Mm108|chr3",6.41393531808612,2.68120980486361,1.30714747809535,2.05119150653943,0.0402483007072472,0.0425564469843653,"Dnttip2",99480,"CCDS17809.1"
"CCDS18100.1|Mm108|chr4",226.009870266987,7.8202419689386,1.70984709004184,4.57364989798429,4.79300484994497e-06,1.55377629750963e-05,"Tpm2",22004,"CCDS18100.1"
"CCDS18194.1|Mm108|chr4",627.201011634656,9.29278407620349,2.15560700591493,4.31098249852794,1.62530770623678e-05,4.24305994106061e-05,"Rad23b",19359,"CCDS18194.1"
"CCDS18579.1|Mm108|chr4",2019.63254493949,10.9798771153537,2.01128322991419,5.459140190724,4.78445877589818e-08,3.00301135934035e-07,"Ybx1",22608,"CCDS18579.1"
"CCDS18873.1|Mm108|chr4",14351.9602874588,13.8089601829205,2.69168902973869,5.13022122182559,2.89401864935186e-07,1.25549338464529e-06,"Hspb7",29818,"CCDS18873.1"
"CCDS19070.1|Mm108|chr5",13.0319932279893,3.7039858541743,1.45552643842878,2.5447740119188,0.0109348481068315,0.013904224963428,"Akap9",100986,"CCDS19070.1"
"CCDS19207.1|Mm108|chr5",5.0947090094696,2.34899974745411,1.23808521747677,1.89728438260606,0.0577904150603886,0.058786801526947,"Letm1",56384,"CCDS19207.1"
"CCDS19372.1|Mm108|chr5",3006.0607805324,11.5536584645372,1.88630363944021,6.12502580335684,9.06689116049815e-10,1.27368232968903e-08,"Rest",19712,"CCDS19372.1"
"CCDS19475.1|Mm108|chr5",11.9388158780105,3.57758784843837,1.73566705187261,2.061217815121,0.0392822646692966,0.0419864785414583,"Arhgap24",231532,"CCDS19475.1"
"CCDS19483.1|Mm108|chr5",32182.44099628,14.9739861363028,2.84714930438304,5.2592907977292,1.44612045497954e-07,6.99353334785189e-07,"Sparcl1",13602,"CCDS19483.1"
"CCDS19539.1|Mm108|chr5",239.734795718213,7.90529551038832,1.91669165107714,4.12444824181589,3.71624546108871e-05,8.78530645208709e-05,"Tfip11",54723,"CCDS19539.1"
"CCDS19983.1|Mm108|chr6",4694.31272726091,12.1966982396548,2.08223722165162,5.85749698105026,4.69895357223496e-09,4.62909669583903e-08,"Podxl",27205,"CCDS19983.1"
"CCDS19986.1|Mm108|chr6",29328.3982137297,14.840010659229,2.95582099700236,5.02060533241996,5.15088958495845e-07,2.08152387337362e-06,"Chchd3",66075,"CCDS19986.1"
"CCDS20655.1|Mm108|chr6",7.99070750457833,2.99832324635197,1.33652138711322,2.24337842645983,0.0248724218627757,0.0277930471572683,"Wbp11",60321,"CCDS20655.1"
"CCDS20684.1|Mm108|chr6",911.254262368585,9.83170984739936,2.11453399922099,4.64958702533109,3.32600323946842e-06,1.11496699504907e-05,"Ldhb",16832,"CCDS20684.1"
"CCDS20721.1|Mm108|chr7",125.97593453723,6.97700434858071,1.70056980771595,4.10274504282278,4.08277076761661e-05,9.55886806703888e-05,"Cnot3",232791,"CCDS20721.1"
"CCDS20783.1|Mm108|chr7",2393.94149140912,11.2251721775093,2.07148869545665,5.41889135196792,5.99697459466737e-08,3.430624997749e-07,"Peg3",18616,"CCDS20783.1"
"CCDS20912.1|Mm108|chr7",24.509140636307,4.61524799478067,1.59678319095142,2.8903410437523,0.0038482409162098,0.00564791577254672,"Apoe",11816,"CCDS20912.1"
"CCDS21845.1|Mm108|chr7",76.7495306443529,6.26208602271044,2.14356924394832,2.92133601020328,0.00348533707137754,0.00524578793906314,"Aldoa",11674,"CCDS21845.1"
"CCDS21849.1|Mm108|chr7",14057.2121998996,13.7790228897376,2.54709432099175,5.40970264672905,6.31294799689531e-08,3.5138106775172e-07,"Hirip3",233876,"CCDS21849.1"
"CCDS21896.1|Mm108|chr7",5.35225488734529,2.42014682224861,1.21978643339908,1.98407422478423,0.0472475660386442,0.0490775773992959,"Rgs10",67865,"CCDS21896.1"
"CCDS22210.2|Mm108|chr8",104.095675965739,6.70176633149227,1.70781708828287,3.92417102362558,8.7028895486257e-05,0.000191593463943625,"Adgra2",78560,"CCDS22210.2"
"CCDS22246.1|Mm108|chr8",10.1894180189392,3.34899974745411,1.41588580218019,2.36530357342187,0.0180152970521428,0.0213434242184021,"Cldn23",71908,"CCDS22246.1"
"CCDS22310.1|Mm108|chr8",23.3091167142109,4.54282243027769,1.94976362278459,2.3299349609312,0.0198095888868177,0.0231897965143302,"Gpm6a",234267,"CCDS22310.1"
"CCDS22355.1|Mm108|chr8",281.414945695961,8.13655514062658,2.22416976855153,3.65824374365336,0.000253949478344807,0.000486461663063103,"Gatad2a",234366,"CCDS22355.1"
"CCDS22372.1|Mm108|chr8",10.8017857943904,3.4331979391032,1.69877421573221,2.02098543014641,0.0432812733542745,0.045276509359968,"Ell",13716,"CCDS22372.1"
"CCDS22384.1|Mm108|chr8",304.155547368362,8.24866550694812,2.23676117233868,3.6877721273763,0.000226226101722396,0.00043905723689544,"Ccdc124",234388,"CCDS22384.1"
"CCDS22695.1|Mm108|chr8",25.583176881451,4.67712352198928,1.97295640736827,2.37061675793846,0.0177584340059725,0.0211239436764593,"1700030J22Rik",69528,"CCDS22695.1"
"CCDS22919.1|Mm108|chr9",805.896783408735,9.65445126475638,2.15593640264445,4.47807794929123,7.531810142583e-06,2.29060205367215e-05,"Zfp653",319601,"CCDS22919.1"
"CCDS23283.1|Mm108|chr9",7600.91662460292,12.8919576940115,2.13145547228477,6.04842928301582,1.46264797145998e-09,1.87600500687258e-08,"Slc24a1",214111,"CCDS23283.1"
"CCDS23297.2|Mm108|chr9",91.7924676377351,6.52030386783434,1.71363235222374,3.8049607661603,0.000141826669363083,0.000294639911704996,"Zfp609",214812,"CCDS23297.2"
"CCDS23343.1|Mm108|chr9",6221.66060867999,12.6030839827281,2.07245283539678,6.08124043523294,1.19256303190099e-09,1.59911861095814e-08,"Leo1",235497,"CCDS23343.1"
"CCDS23347.1|Mm108|chr9",696.302153278338,9.44356967464485,2.18009405556635,4.33172580354179,1.4794511494143e-05,3.96761899161108e-05,"Scg3",20255,"CCDS23347.1"
"CCDS23368.1|Mm108|chr9",997.04661039584,9.96151713974937,2.19458767975894,4.53912925495124,5.64870039413148e-06,1.77273044283913e-05,"Myo6",17920,"CCDS23368.1"
"CCDS23451.1|Mm108|chr9",22722.8156080806,14.4718539913347,2.94278728578448,4.91773702477338,8.75504173037015e-07,3.22842163807399e-06,"Trf",22041,"CCDS23451.1"
"CCDS23480.1|Mm108|chr9",5.97419321521394,2.57874389752873,1.28504242785696,2.0067383314567,0.0447775322717519,0.0466762262196707,"Parp3",235587,"CCDS23480.1"
"CCDS23507.1|Mm108|chr9",54.008928971952,5.75512603399056,2.11103230264583,2.72621410235052,0.00640654267130606,0.00904272769394875,"Rbm6",19654,"CCDS23507.1"
"CCDS23892.1|Mm108|chr10",226.011440762513,7.82025199389119,1.96018927275949,3.98953922591471,6.62017711340415e-05,0.00015022709603494,"Ddx50",94213,"CCDS23892.1"
"CCDS23987.1|Mm108|chr10",1789.42780574007,10.8052826242243,2.12867775148659,5.07605372240032,3.85354380744381e-07,1.57888253221656e-06,"Polrmt",216151,"CCDS23987.1"
"CCDS24078.1|Mm108|chr10",55.7144740973821,5.79998026977482,2.1147858471389,2.74258515471986,0.00609576422572822,0.00877195339799914,"Appl2",216190,"CCDS24078.1"
"CCDS24278.1|Mm108|chr10",103.501234528662,6.69350416559359,1.8110642637492,3.69589544643598,0.000219113137128287,0.000430922503018965,"Smarcc2",68094,"CCDS24278.1"
"CCDS24297.1|Mm108|chr10",247.304043187359,7.9501420163957,2.20499234311023,3.60551910360908,0.000311529571427364,0.000581653313740964,"Cd63",12512,"CCDS24297.1"
"CCDS24469.1|Mm108|chr11",13.6443610034405,3.77023292638077,1.78354244100821,2.11390143553271,0.0345236866106419,0.037581134871363,"Ehbp1",216565,"CCDS24469.1"
"CCDS24795.1|Mm108|chr11",8.37702632139188,3.06643820660441,1.33110778450309,2.30367385894984,0.0212409583293809,0.0245728733614406,"Flii",14248,"CCDS24795.1"
"CCDS24826.1|Mm108|chr11",11.5620676136143,3.53132750909073,1.54769514506657,2.28166866087755,0.0225089096553135,0.025837075285282,"Ubb",22187,"CCDS24826.1"
"CCDS24854.2|Mm108|chr11",18.6417939932103,4.22046879933057,1.5412947449398,2.73826197953813,0.00617648520117509,0.00882937438381941,"Myh2",17882,"CCDS24854.2"
"CCDS24855.1|Mm108|chr11",2227.49787363937,11.121208339219,2.06211139149708,5.39311716383325,6.92457682280668e-08,3.78287067171847e-07,"Myh1",17879,"CCDS24855.1"
"CCDS24856.1|Mm108|chr11",55930.9352536071,15.7713588342152,2.63880410691799,5.9767069457215,2.27693257667574e-09,2.58718429507893e-08,"Myh4",17884,"CCDS24856.1"
"CCDS24857.1|Mm108|chr11",25.2379255362929,4.65752142590914,1.61035916257756,2.8922252464812,0.00382523593703595,0.00564222300712802,"Myh8",17885,"CCDS24857.1"
"CCDS24869.1|Mm108|chr11",19.9925172210648,4.32138822548489,1.61102758711298,2.68238002877963,0.00731003660586324,0.0101719848996682,"Myh10",77579,"CCDS24869.1"
"CCDS24922.1|Mm108|chr11",15.5635992731051,3.96010383470895,1.49808805810429,2.64343862384174,0.00820686431352512,0.0110046589658632,"Gps2",56310,"CCDS24922.1"
"CCDS24961.1|Mm108|chr11",48.3237785538518,5.59466136179731,2.09623952327757,2.66890367234838,0.00760992717855047,0.0104415279891739,"Eno3",13808,"CCDS24961.1"
"CCDS24976.1|Mm108|chr11",86.9828013969333,6.44265826835226,2.14998646404663,2.99660410709103,0.00273005001756672,0.0041946080999072,"Aipl1",114230,"CCDS24976.1"
"CCDS25265.1|Mm108|chr11",304.551436737592,8.25054210020292,1.88055384150332,4.38729374193689,1.14769743717922e-05,3.19406362233839e-05,"Col1a1",12842,"CCDS25265.1"
"CCDS25374.1|Mm108|chr11",2749.75655792932,11.4250881839487,2.03752509001217,5.60733619426518,2.05464315649245e-08,1.52267446572867e-07,"Smarce1",57376,"CCDS25374.1"
"CCDS25661.1|Mm108|chr11",543.114061153567,9.08511140471041,2.08408115951716,4.35928867895684,1.30485889123785e-05,3.53149883408409e-05,"Evpl",14027,"CCDS25661.1"
"CCDS25913.1|Mm108|chr12",621.56913692335,9.2797710604556,2.10901115489718,4.40005783701414,1.08222029863651e-05,3.09956299124048e-05,"Fam177a",73385,"CCDS25913.1"
"CCDS25933.1|Mm108|chr12",188.282540149249,7.55675541167066,1.74775735155485,4.32368681210121,1.5344308776832e-05,4.07799197222113e-05,"Pnn",18949,"CCDS25933.1"
"CCDS26183.1|Mm108|chr12",71.4821959623043,6.15951205012943,1.80753372859214,3.40768858289963,0.000655156193988815,0.00116428359775121,"Ckb",12709,"CCDS26183.1"
