"target_id","length","eff_length","est_counts","tpm","gene","gene_id","ccds_id"
"CCDS14829.1|Mm108|chr1",813,518.998,67,3.36009,"Rpl7",19989,"CCDS14829.1"
"CCDS14904.1|Mm108|chr1",378,136.393,681,129.956,"Rpl31",114641,"CCDS14904.1"
"CCDS15012.1|Mm108|chr1",525,244.87,6923.53,735.924,"Crygc",12966,"CCDS15012.1"
"CCDS15037.1|Mm108|chr1",816,521.998,9,0.448761,"Igfbp5",16011,"CCDS15037.1"
"CCDS15069.1|Mm108|chr1",528,247.793,27,2.83606,"Resp18",19711,"CCDS15069.1"
"CCDS15086.1|Mm108|chr1",2343,2048.93,168126,2135.74,"Utp14b",195434,"CCDS15086.1"
"CCDS15127.1|Mm108|chr1",1680,1385.93,115.519,2.16948,"Akp3",11648,"CCDS15127.1"
"CCDS15192.1|Mm108|chr1",1281,986.931,85,2.24168,"Stk25",59041,"CCDS15192.1"
"CCDS15354.1|Mm108|chr1",735,440.998,60,3.54125,"Pdc",20028,"CCDS15354.1"
"CCDS15361.1|Mm108|chr1",2187,1892.93,88661,1219.1,"Trmt1l",98685,"CCDS15361.1"
"CCDS15444.1|Mm108|chr1",2277,1982.93,6,0.0787562,"Pou2f1",18986,"CCDS15444.1"
"CCDS15494.1|Mm108|chr1",3282,2987.93,18,0.156799,"Arhgap30",226652,"CCDS15494.1"
"CCDS15509.1|Mm108|chr1",1776,1481.93,187,3.28439,"Dcaf8",98193,"CCDS15509.1"
"CCDS15526.1|Mm108|chr1",933,638.998,1,0.0407326,"Olfr418",258645,"CCDS15526.1"
"CCDS15528.1|Mm108|chr1",1191,896.931,5,0.145095,"Cadm3",94332,"CCDS15528.1"
"CCDS15572.1|Mm108|chr1",1578,1283.93,9016,182.774,"Acbd3",170760,"CCDS15572.1"
"CCDS15637.1|Mm108|chr1",3507,3212.93,1,0.00810102,"Lamb3",16780,"CCDS15637.1"
"CCDS15861.1|Mm108|chr2",1917,1622.93,1,0.0160377,"Odf2",18286,"CCDS15861.1"
"CCDS15878.1|Mm108|chr2",5280,4985.93,5.04904,0.0263575,"Nup188",227699,"CCDS15878.1"
"CCDS15892.1|Mm108|chr2",870,575.998,21,0.948942,"BC005624",227707,"CCDS15892.1"
"CCDS15947.1|Mm108|chr2",1305,1010.93,163,4.19669,"Pbx3",18516,"CCDS15947.1"
"CCDS16002.1|Mm108|chr2",3195,2900.93,60793,545.453,"Rabgap1",227800,"CCDS16002.1"
"CCDS16013.1|Mm108|chr2",2046,1751.93,7,0.103997,"Olfml2a",241327,"CCDS16013.1"
"CCDS16056.1|Mm108|chr2",6372,6077.93,11,0.0471062,"Baz2b",407823,"CCDS16056.1"
"CCDS16190.1|Mm108|chr2",2148,1853.93,234077,3286.29,"Zdhhc5",228136,"CCDS16190.1"
"CCDS16414.2|Mm108|chr2",3093,2798.93,2,0.0185986,"Fnbp4",55935,"CCDS16414.2"
"CCDS16423.1|Mm108|chr2",1329,1034.93,333,8.37479,"Psmc3",19182,"CCDS16423.1"
"CCDS16481.1|Mm108|chr2",2124,1829.93,3,0.0426705,"Caprin1",53872,"CCDS16481.1"
"CCDS16559.1|Mm108|chr2",4401,4106.93,1,0.00633759,"Fmn1",14260,"CCDS16559.1"
"CCDS16571.1|Mm108|chr2",1290,995.931,33,0.862434,"Fam98b",68215,"CCDS16571.1"
"CCDS16593.1|Mm108|chr2",912,617.998,3,0.12635,"Dnajc17",69408,"CCDS16593.1"
"CCDS16602.1|Mm108|chr2",4680,4385.93,1038,6.15995,"Ino80",68142,"CCDS16602.1"
"CCDS16648.1|Mm108|chr2",1320,1025.93,23,0.583514,"Mfap1a",67532,"CCDS16648.1"
"CCDS16709.1|Mm108|chr2",2076,1781.93,13.202,0.192837,"Nphp1",53885,"CCDS16709.1"
"CCDS16771.1|Mm108|chr2",786,491.998,2,0.105805,"Pcna",18538,"CCDS16771.1"
"CCDS16777.1|Mm108|chr2",2034,1739.93,43105,644.818,"Chgb",12653,"CCDS16777.1"
"CCDS16788.1|Mm108|chr2",3528,3233.93,139,1.11873,"Plcb4",18798,"CCDS16788.1"
"CCDS16811.1|Mm108|chr2",1992,1697.93,288540,4423.11,"Bfsp1",12075,"CCDS16811.1"
"CCDS16938.1|Mm108|chr2",675,381.157,43754,2987.83,"Chmp4b",75608,"CCDS16938.1"
"CCDS16982.1|Mm108|chr2",1692,1397.93,3074,57.2347,"Ctnnbl1",66642,"CCDS16982.1"
"CCDS16994.1|Mm108|chr2",972,677.931,2,0.0767867,"Mafb",16658,"CCDS16994.1"
"CCDS17056.1|Mm108|chr2",483,205.411,3098,392.553,"Tnnc2",21925,"CCDS17056.1"
"CCDS17109.1|Mm108|chr2",783,488.998,1037,55.1967,"Dpm1",13480,"CCDS17109.1"
"CCDS17179.1|Mm108|chr2",1902,1607.93,4,0.0647491,"Ogfr",72075,"CCDS17179.1"
"CCDS17286.1|Mm108|chr3",1197,902.931,14,0.403566,"Sec62",69276,"CCDS17286.1"
"CCDS17338.1|Mm108|chr3",852,557.998,216689,10107.5,"Mgarp",67749,"CCDS17338.1"
"CCDS17346.1|Mm108|chr3",2742,2447.93,4,0.0425307,"Proser1",212127,"CCDS17346.1"
"CCDS17433.1|Mm108|chr3",1542,1247.93,25,0.521424,"Plrg1",53317,"CCDS17433.1"
"CCDS17442.2|Mm108|chr3",3246,2951.93,8,0.0705383,"Fam160a1",229488,"CCDS17442.2"
"CCDS17461.1|Mm108|chr3",5595,5300.93,6,0.0294605,"Nes",18008,"CCDS17461.1"
"CCDS17468.1|Mm108|chr3",1638,1343.93,1245,24.112,"Cct3",12462,"CCDS17468.1"
"CCDS17510.1|Mm108|chr3",2184,1889.93,1,0.0137719,"Pbxip1",229534,"CCDS17510.1"
"CCDS17518.1|Mm108|chr3",1479,1184.93,2,0.0439317,"She",214547,"CCDS17518.1"
"CCDS17591.1|Mm108|chr3",1551,1256.93,1,0.0207076,"Rorc",19885,"CCDS17591.1"
