target_id	length	eff_length	est_counts	tpm
CCDS14803.1|Mm108|chr1	1944	1649.93	0	0
CCDS14804.1|Mm108|chr1	6288	5993.93	0	0
CCDS14805.1|Mm108|chr1	1260	965.931	0	0
CCDS14806.1|Mm108|chr1	693	398.998	0	0
CCDS14807.1|Mm108|chr1	720	425.998	0	0
CCDS14808.1|Mm108|chr1	1452	1157.93	0	0
CCDS14809.1|Mm108|chr1	1143	848.931	0	0
CCDS14810.1|Mm108|chr1	3138	2843.93	0	0
CCDS14811.1|Mm108|chr1	1098	803.931	0	0
CCDS14812.1|Mm108|chr1	1398	1103.93	0	0
CCDS14813.1|Mm108|chr1	624	330.592	0	0
CCDS14814.1|Mm108|chr1	3663	3368.93	0	0
CCDS14816.1|Mm108|chr1	1491	1196.93	0	0
CCDS14817.1|Mm108|chr1	1074	779.931	0	0
CCDS14818.1|Mm108|chr1	1005	710.931	0	0
CCDS14819.1|Mm108|chr1	1317	1022.93	0	0
CCDS14820.1|Mm108|chr1	2613	2318.93	0	0
CCDS14821.2|Mm108|chr1	2553	2258.93	0	0
CCDS14822.1|Mm108|chr1	1125	830.931	0	0
CCDS14823.1|Mm108|chr1	867	572.998	0	0
CCDS14824.1|Mm108|chr1	1122	827.931	0	0
CCDS14825.1|Mm108|chr1	606	313.044	0	0
CCDS14827.1|Mm108|chr1	1266	971.931	0	0
CCDS14828.1|Mm108|chr1	795	500.998	0	0
CCDS14829.1|Mm108|chr1	813	518.998	67	3.36009
CCDS14830.1|Mm108|chr1	1026	731.931	0	0
CCDS14831.2|Mm108|chr1	1713	1418.93	0	0
CCDS14832.1|Mm108|chr1	483	205.411	0	0
CCDS14833.1|Mm108|chr1	1983	1688.93	0	0
CCDS14834.1|Mm108|chr1	1077	782.931	0	0
CCDS14838.1|Mm108|chr1	1359	1064.93	0	0
CCDS14839.1|Mm108|chr1	1380	1085.93	0	0
CCDS14840.1|Mm108|chr1	1326	1031.93	0	0
CCDS14841.1|Mm108|chr1	12180	11885.9	0	0
CCDS14842.1|Mm108|chr1	477	202.528	0	0
CCDS14843.1|Mm108|chr1	2439	2144.93	0	0
CCDS14844.1|Mm108|chr1	1065	770.931	0	0
CCDS14846.1|Mm108|chr1	1113	818.931	0	0
CCDS14847.1|Mm108|chr1	666	372.157	0	0
CCDS14848.1|Mm108|chr1	501	222.347	0	0
CCDS14850.1|Mm108|chr1	975	680.931	0	0
CCDS14851.1|Mm108|chr1	1323	1028.93	0	0
CCDS14852.1|Mm108|chr1	315	97.0249	0	0
CCDS14853.1|Mm108|chr1	4521	4226.93	0	0
CCDS14854.1|Mm108|chr1	3411	3116.93	0	0
CCDS14855.1|Mm108|chr1	4569	4274.93	0	0
CCDS14856.1|Mm108|chr1	4146	3851.93	0	0
CCDS14858.1|Mm108|chr1	522	242.356	0	0
CCDS14859.1|Mm108|chr1	1692	1397.93	0	0
CCDS14861.1|Mm108|chr1	1050	755.931	0	0
CCDS14862.1|Mm108|chr1	1518	1223.93	0	0
CCDS14864.1|Mm108|chr1	633	339.157	0	0
CCDS14865.1|Mm108|chr1	3171	2876.93	0	0
CCDS14866.1|Mm108|chr1	543	262.23	0	0
CCDS14867.1|Mm108|chr1	1362	1067.93	0	0
CCDS14868.1|Mm108|chr1	1104	809.931	0	0
CCDS14869.1|Mm108|chr1	609	316.044	0	0
CCDS14870.1|Mm108|chr1	1098	803.931	0	0
CCDS14871.1|Mm108|chr1	2343	2048.93	0	0
CCDS14872.1|Mm108|chr1	1455	1160.93	0	0
