"transcript_id","gene_id","length","effective_length","expected_count","TPM","FPKM","IsoPct","gene","gene_id","ccds_id"
"CCDS57264.1|Mm108|chr4",100019,16749,16518.42,1,0.31,0.14,100,"Mdn1",100019,"CCDS57264.1"
"CCDS49066.1|Mm108|chr12",100101807,624,393.45,0,0,0,0,"Fam177a2",100101807,"CCDS49066.1"
"CCDS36670.1|Mm108|chr13",104069,402,172.75,1272,37392.93,16699.89,100,"Sncb",104069,"CCDS36670.1"
"CCDS28943.1|Mm108|chr17",106585,6126,5895.42,1,0.86,0.38,100,"Ankrd12",106585,"CCDS28943.1"
"CCDS49239.1|Mm108|chr13",109620,8652,8421.42,4,2.41,1.08,100,"Dsp",109620,"CCDS49239.1"
"CCDS39456.1|Mm108|chr6",109624,1593,1362.42,6347.24,23661.63,10567.42,32.54,"Cald1",109624,"CCDS39456.1"
"CCDS85029.1|Mm108|chr6",109624,1611,1380.42,13331.76,49044.5,21903.55,67.46,"Cald1",109624,"CCDS85029.1"
"CCDS27861.1|Mm108|chr15",110308,1743,1512.42,0,0,0,0,"Krt5",110308,"CCDS27861.1"
"CCDS24976.1|Mm108|chr11",114230,987,756.42,0,0,0,0,"Aipl1",114230,"CCDS24976.1"
"CCDS57294.1|Mm108|chr4",11426,15987,15756.42,0,0,0,0,"Macf1",11426,"CCDS57294.1"
"CCDS14904.1|Mm108|chr1",114641,378,149.67,0,0,0,0,"Rpl31",114641,"CCDS14904.1"
"CCDS21845.1|Mm108|chr7",11674,1095,864.42,0,0,0,0,"Aldoa",11674,"CCDS21845.1"
"CCDS52399.1|Mm108|chr7",11674,1257,1026.42,0,0,0,0,"Aldoa",11674,"CCDS52399.1"
"CCDS40663.1|Mm108|chr9",11737,744,513.43,0,0,0,0,"Anp32a",11737,"CCDS40663.1"
"CCDS48799.1|Mm108|chr11",11749,2004,1773.42,0,0,0,0,"Anxa6",11749,"CCDS48799.1"
"CCDS35984.1|Mm108|chr10",11776,3600,3369.42,3,4.52,2.02,100,"Ap3d1",11776,"CCDS35984.1"
"CCDS28868.1|Mm108|chr17",11811,675,444.44,432,4936.32,2204.59,100,"Apobec2",11811,"CCDS28868.1"
"CCDS20912.1|Mm108|chr7",11816,936,705.42,2,14.4,6.43,100,"Apoe",11816,"CCDS20912.1"
"CCDS17683.1|Mm108|chr3",11928,3072,2841.42,31,55.41,24.74,100,"Atp1a1",11928,"CCDS17683.1"
"CCDS17714.1|Mm108|chr3",11950,771,540.43,0,0,0,0,"Atp5pb",11950,"CCDS17714.1"
"CCDS71154.1|Mm108|chr2",12075,2010,1779.42,24,68.49,30.59,100,"Bfsp1",12075,"CCDS71154.1"
"CCDS35588.1|Mm108|chr1",12168,3117,2886.42,0,0,0,0,"Bmpr2",12168,"CCDS35588.1"
"CCDS24297.1|Mm108|chr10",12512,717,486.44,0,0,0,0,"Cd63",12512,"CCDS24297.1"
"CCDS19033.1|Mm108|chr4",12537,2355,2124.42,4400.35,10519.13,4697.9,44.19,"Cdk11b",12537,"CCDS19033.1"
"CCDS16777.1|Mm108|chr2",12653,2034,1803.42,11723,33012.19,14743.43,100,"Chgb",12653,"CCDS16777.1"
"CCDS26183.1|Mm108|chr12",12709,1146,915.42,0,0,0,0,"Ckb",12709,"CCDS26183.1"
"CCDS18067.1|Mm108|chr4",12804,1119,888.42,1,5.72,2.55,100,"Cntfr",12804,"CCDS18067.1"
"CCDS40219.1|Mm108|chr8",12826,5010,4779.42,198,210.39,93.96,100,"Col4a1",12826,"CCDS40219.1"
"CCDS25265.1|Mm108|chr11",12842,4362,4131.42,1,1.23,0.55,100,"Col1a1",12842,"CCDS25265.1"
"CCDS15012.1|Mm108|chr1",12966,525,294.52,0,0,0,0,"Crygc",12966,"CCDS15012.1"
"CCDS37030.1|Mm108|chr15",13132,1647,1416.42,0,0,0,0,"Dab2",13132,"CCDS37030.1"
"CCDS49576.1|Mm108|chr15",13132,1584,1353.42,0,0,0,0,"Dab2",13132,"CCDS49576.1"
"CCDS79357.1|Mm108|chr15",13132,2238,2007.42,0,0,0,0,"Dab2",13132,"CCDS79357.1"
"CCDS36202.1|Mm108|chr11",13385,2175,1944.42,0,0,0,0,"Dlg4",13385,"CCDS36202.1"
"CCDS19483.1|Mm108|chr5",13602,1953,1722.42,229,675.19,301.55,100,"Sparcl1",13602,"CCDS19483.1"
"CCDS38035.1|Mm108|chr19",13669,4035,3804.42,4,5.34,2.38,100,"Eif3a",13669,"CCDS38035.1"
"CCDS22372.1|Mm108|chr8",13716,1809,1578.42,0,0,0,0,"Ell",13716,"CCDS22372.1"
"CCDS48473.1|Mm108|chr1",13800,2358,2127.42,0,0,0,0,"Enah",13800,"CCDS48473.1"
"CCDS24961.1|Mm108|chr11",13808,1305,1074.42,0,0,0,0,"Eno3",13808,"CCDS24961.1"
"CCDS39677.1|Mm108|chr6",14011,1458,1227.42,46,190.33,85,100,"Etv6",14011,"CCDS39677.1"
"CCDS25661.1|Mm108|chr11",14027,6108,5877.42,0,0,0,0,"Evpl",14027,"CCDS25661.1"
"CCDS80613.1|Mm108|chr6",14433,1080,849.42,0,0,0,0,"Gapdh",14433,"CCDS80613.1"
"CCDS40232.1|Mm108|chr8",14456,2025,1794.42,38,107.55,48.03,100,"Gas6",14456,"CCDS40232.1"
"CCDS57386.1|Mm108|chr5",14886,2877,2646.42,0,0,0,0,"Gtf2i",14886,"CCDS57386.1"
"CCDS27648.1|Mm108|chr15",14904,2007,1776.42,13,37.16,16.6,100,"Gtpbp1",14904,"CCDS27648.1"
"CCDS28894.1|Mm108|chr17",15193,2010,1779.42,0,0,0,0,"Hdgfl2",15193,"CCDS28894.1"
"CCDS36917.1|Mm108|chr14",15381,942,711.42,0,0,0,0,"Hnrnpc",15381,"CCDS36917.1"
"CCDS23852.1|Mm108|chr10",15500,1554,1323.42,0,0,0,0,"Hsf2",15500,"CCDS23852.1"
"CCDS84133.1|Mm108|chr14",16709,3675,3444.42,0.02,0.02,0.01,0,"Ktn1",16709,"CCDS84133.1"
"CCDS84135.1|Mm108|chr14",16709,3672,3441.42,0.02,0.03,0.01,0,"Ktn1",16709,"CCDS84135.1"
"CCDS20684.1|Mm108|chr6",16832,1005,774.42,0,0,0,0,"Ldhb",16832,"CCDS20684.1"
"CCDS37891.1|Mm108|chr19",16998,3762,3531.42,20,28.76,12.85,100,"Ltbp3",16998,"CCDS37891.1"
"CCDS49601.1|Mm108|chr15",170719,651,420.44,1,12.08,5.39,100,"Oxr1",170719,"CCDS49601.1"
"CCDS15572.1|Mm108|chr1",170760,1578,1347.42,0,0,0,0,"Acbd3",170760,"CCDS15572.1"
"CCDS24020.1|Mm108|chr10",17192,858,627.43,943.28,7635.08,3409.87,53.03,"Mbd3",17192,"CCDS24020.1"
"CCDS50685.1|Mm108|chr2",17754,8331,8100.42,113054.47,70878.24,31654.62,70.82,"Map1a",17754,"CCDS50685.1"
"CCDS26723.1|Mm108|chr13",17755,7395,7164.42,708,501.86,224.13,100,"Map1b",17755,"CCDS26723.1"
"CCDS57704.1|Mm108|chr9",17758,3378,3147.42,81.45,131.42,58.69,14.31,"Map4",17758,"CCDS57704.1"
"CCDS81082.1|Mm108|chr9",17758,2802,2571.42,150.15,296.54,132.44,32.29,"Map4",17758,"CCDS81082.1"
"CCDS40029.1|Mm108|chr7",17760,921,690.42,0,0,0,0,"Map6",17760,"CCDS40029.1"
"CCDS56763.1|Mm108|chr11",17847,10749,10518.42,26,12.55,5.61,100,"Usp34",17847,"CCDS56763.1"
"CCDS24856.1|Mm108|chr11",17884,5820,5589.42,7017,6375.55,2847.35,100,"Myh4",17884,"CCDS24856.1"
"CCDS24857.1|Mm108|chr11",17885,5814,5583.42,10,9.1,4.06,100,"Myh8",17885,"CCDS24857.1"
"CCDS23368.1|Mm108|chr9",17920,3789,3558.42,1,1.43,0.64,100,"Myo6",17920,"CCDS23368.1"
"CCDS48723.1|Mm108|chr10",17938,6564,6333.42,8284,6642.55,2966.6,100,"Naca",17938,"CCDS48723.1"
"CCDS27232.1|Mm108|chr14",18039,1632,1401.42,0,0,0,0,"Nefl",18039,"CCDS27232.1"
"CCDS27233.1|Mm108|chr14",18040,2547,2316.42,12954,28400.05,12683.62,100,"Nefm",18040,"CCDS27233.1"
"CCDS27471.1|Mm108|chr15",18133,1065,834.42,0,0,0,0,"Ccn3",18133,"CCDS27471.1"
"CCDS36673.1|Mm108|chr13",18193,8076,7845.42,17,11,4.91,100,"Nsd1",18193,"CCDS36673.1"
"CCDS24468.1|Mm108|chr11",18423,1068,837.42,0,0,0,0,"Otx1",18423,"CCDS24468.1"
"CCDS37414.1|Mm108|chr16",18546,189,7.57,0,0,0,0,"Pcp4",18546,"CCDS37414.1"
"CCDS20783.1|Mm108|chr7",18616,4716,4485.42,0,0,0,0,"Peg3",18616,"CCDS20783.1"
"CCDS16788.1|Mm108|chr2",18798,3528,3297.42,0,0,0,0,"Plcb4",18798,"CCDS16788.1"
"CCDS25933.1|Mm108|chr12",18949,2181,1950.42,3,7.81,3.49,100,"Pnn",18949,"CCDS25933.1"
"CCDS27932.1|Mm108|chr16",19041,5265,5034.42,0,0,0,0,"Ppl",19041,"CCDS27932.1"
"CCDS35822.1|Mm108|chr1",19130,2214,1983.42,0,0,0,0,"Prox1",19130,"CCDS35822.1"
"CCDS49575.1|Mm108|chr15",19219,1467,1236.42,0,0,0,0,"Ptger4",19219,"CCDS49575.1"
"CCDS35625.1|Mm108|chr1",19275,2946,2715.42,0,0,0,0,"Ptprn",19275,"CCDS35625.1"
"CCDS27463.1|Mm108|chr15",19357,1908,1677.42,5,15.14,6.76,100,"Rad21",19357,"CCDS27463.1"
"CCDS40414.1|Mm108|chr8",19358,1089,858.42,0,0,0,0,"Rad23a",19358,"CCDS40414.1"
"CCDS15086.1|Mm108|chr1",195434,2343,2112.42,2,4.81,2.15,100,"Utp14b",195434,"CCDS15086.1"
"CCDS23507.1|Mm108|chr9",19654,2961,2730.42,0,0,0,0,"Rbm6",19654,"CCDS23507.1"
"CCDS24859.1|Mm108|chr11",19674,609,378.45,0,0,0,0,"Rcvrn",19674,"CCDS24859.1"
"CCDS19372.1|Mm108|chr5",19712,3249,3018.42,79,132.92,59.36,100,"Rest",19712,"CCDS19372.1"
"CCDS53002.1|Mm108|chrX",19893,2919,2688.42,0,0,0,0,"Rpgr",19893,"CCDS53002.1"
"CCDS14829.1|Mm108|chr1",19989,813,582.43,0,0,0,0,"Rpl7",19989,"CCDS14829.1"
"CCDS15354.1|Mm108|chr1",20028,735,504.43,3,30.2,13.49,100,"Pdc",20028,"CCDS15354.1"
"CCDS29460.1|Mm108|chr19",20227,2421,2190.42,5,11.59,5.18,100,"Sart1",20227,"CCDS29460.1"
"CCDS23347.1|Mm108|chr9",20255,1416,1185.42,0,0,0,0,"Scg3",20255,"CCDS23347.1"
"CCDS59573.1|Mm108|chr12",20663,3999,3768.42,0,0,0,0,"Sos2",20663,"CCDS59573.1"
"CCDS50559.1|Mm108|chr2",20740,7374,7143.42,0,0,0,0,"Sptan1",20740,"CCDS50559.1"
"CCDS89463.1|Mm108|chr2",20740,7419,7188.42,0,0,0,0,"Sptan1",20740,"CCDS89463.1"
"CCDS27683.1|Mm108|chr15",20788,3393,3162.42,2,3.21,1.43,100,"Srebf2",20788,"CCDS27683.1"
