	"output/RSEM/NGS128_S21.isoforms.results"	"output/RSEM/NGS130_S23.isoforms.results"
"CCDS40549.1|Mm108|chr9"	0.00	0.00
"CCDS52288.1|Mm108|chr7"	0.00	0.00
"CCDS48605.1|Mm108|chr10"	0.00	0.00
"CCDS51361.1|Mm108|chr4"	0.00	0.00
"CCDS51327.1|Mm108|chr4"	0.00	0.00
"CCDS57264.1|Mm108|chr4"	1.00	2.00
"CCDS48451.1|Mm108|chr1"	0.00	0.00
"CCDS36257.1|Mm108|chr11"	0.00	0.00
"CCDS38217.1|Mm108|chr2"	184.00	0.00
"CCDS41138.1|Mm108|chrX"	0.00	0.00
"CCDS37333.1|Mm108|chr16"	0.00	0.00
"CCDS53212.1|Mm108|chrX"	0.00	0.00
"CCDS89026.1|Mm108|chr17"	0.00	0.00
"CCDS36618.1|Mm108|chr13"	0.00	0.00
"CCDS80487.1|Mm108|chr6"	0.00	0.00
"CCDS80488.1|Mm108|chr6"	0.00	0.00
"CCDS37012.1|Mm108|chr14"	0.00	0.00
"CCDS52587.1|Mm108|chr8"	0.00	0.00
"CCDS57044.1|Mm108|chr17"	0.00	0.00
"CCDS37433.1|Mm108|chr17"	0.00	0.00
"CCDS52275.1|Mm108|chr7"	0.00	0.00
"CCDS50305.1|Mm108|chr18"	0.00	0.00
"CCDS80883.1|Mm108|chr8"	0.00	0.00
"CCDS56889.1|Mm108|chr13"	0.00	0.00
"CCDS48987.1|Mm108|chr11"	0.00	0.00
"CCDS48418.1|Mm108|chr1"	0.00	0.00
"CCDS56701.1|Mm108|chr10"	0.00	0.00
"CCDS49396.1|Mm108|chr14"	0.00	0.00
"CCDS49840.1|Mm108|chr16"	0.00	0.00
"CCDS50064.1|Mm108|chr17"	0.00	0.00
"CCDS50065.1|Mm108|chr17"	0.00	0.00
"CCDS50075.1|Mm108|chr17"	0.00	0.00
"CCDS51405.1|Mm108|chr4"	0.00	0.00
"CCDS52504.1|Mm108|chr8"	0.00	0.00
"CCDS53179.1|Mm108|chrX"	0.00	0.00
"CCDS50868.1|Mm108|chr3"	0.00	0.00
"CCDS51187.2|Mm108|chr4"	0.00	0.00
"CCDS59671.1|Mm108|chr5"	0.00	0.00
"CCDS53023.1|Mm108|chrX"	0.00	0.00
"CCDS51189.1|Mm108|chr4"	0.00	0.00
"CCDS51190.1|Mm108|chr4"	0.00	0.00
"CCDS53024.1|Mm108|chrX"	0.00	0.00
"CCDS49128.1|Mm108|chr12"	0.00	0.00
"CCDS80236.1|Mm108|chr5"	0.00	0.00
"CCDS51192.1|Mm108|chr4"	0.00	0.00
"CCDS50826.1|Mm108|chr2"	0.00	0.00
"CCDS53025.1|Mm108|chrX"	0.00	0.00
"CCDS56852.1|Mm108|chr12"	0.00	0.00
"CCDS59578.1|Mm108|chr12"	0.00	0.00
"CCDS84743.1|Mm108|chr4"	0.00	0.00
"CCDS51195.1|Mm108|chr4"	0.00	0.00
"CCDS53027.1|Mm108|chrX"	0.00	0.00
"CCDS57201.1|Mm108|chr2"	0.00	0.00
"CCDS49571.1|Mm108|chr15"	0.00	0.00
"CCDS51196.1|Mm108|chr4"	0.00	0.00
"CCDS88599.1|Mm108|chr14"	0.00	0.00
"CCDS57278.1|Mm108|chr4"	0.00	0.00
"CCDS56939.1|Mm108|chr14"	0.00	0.00
"CCDS56940.1|Mm108|chr14"	0.00	0.00
"CCDS51198.1|Mm108|chr4"	0.00	0.00
"CCDS56941.1|Mm108|chr14"	0.00	0.00
"CCDS49424.1|Mm108|chr14"	0.00	0.00
"CCDS40899.1|Mm108|chrX"	0.00	0.00
"CCDS56942.1|Mm108|chr14"	0.00	0.00
"CCDS56943.1|Mm108|chr14"	0.00	0.00
"CCDS56944.1|Mm108|chr14"	0.00	0.00
"CCDS79281.1|Mm108|chr14"	0.00	0.00
"CCDS49428.1|Mm108|chr14"	0.00	0.00
"CCDS49132.1|Mm108|chr12"	0.00	0.00
"CCDS88383.1|Mm108|chr12"	0.00	0.00
"CCDS72425.1|Mm108|chrX"	0.00	0.00
"CCDS53030.1|Mm108|chrX"	0.00	0.00
"CCDS53031.1|Mm108|chrX"	0.00	0.00
"CCDS88583.1|Mm108|chr14"	0.00	0.00
"CCDS88584.1|Mm108|chr14"	0.00	0.00
"CCDS53034.1|Mm108|chrX"	0.00	0.00
"CCDS40921.1|Mm108|chrX"	0.00	0.00
"CCDS53177.1|Mm108|chrX"	0.00	0.00
"CCDS85905.1|Mm108|chrY"	0.00	0.00
"CCDS53049.1|Mm108|chrX"	0.00	0.00
"CCDS69862.1|Mm108|chr1"	0.00	0.00
"CCDS85871.1|Mm108|chrY"	0.00	0.00
"CCDS51167.1|Mm108|chr4"	0.00	0.00
"CCDS52881.1|Mm108|chr9"	0.00	0.00
"CCDS90638.1|Mm108|chr9"	0.00	0.00
"CCDS85850.1|Mm108|chrY"	0.00	0.00
"CCDS51169.1|Mm108|chr4"	0.00	0.00
"CCDS48431.1|Mm108|chr1"	0.00	0.00
"CCDS87912.1|Mm108|chr1"	0.00	0.00
"CCDS87913.1|Mm108|chr1"	0.00	0.00
"CCDS87914.1|Mm108|chr1"	0.00	0.00
"CCDS87915.1|Mm108|chr1"	0.00	0.00
"CCDS87916.1|Mm108|chr1"	0.00	0.00
"CCDS48781.1|Mm108|chr11"	0.00	0.00
"CCDS52549.1|Mm108|chr8"	0.00	0.00
"CCDS85895.1|Mm108|chrY"	0.00	0.00
"CCDS51149.1|Mm108|chr4"	0.00	0.00
"CCDS57270.1|Mm108|chr4"	0.00	0.00
"CCDS53214.1|Mm108|chrX"	0.00	0.00
"CCDS53052.1|Mm108|chrX"	0.00	0.00
"CCDS53215.1|Mm108|chrX"	0.00	0.00
"CCDS53053.1|Mm108|chrX"	0.00	0.00
"CCDS57548.1|Mm108|chr7"	0.00	0.00
"CCDS38882.1|Mm108|chr4"	0.00	0.00
"CCDS53055.1|Mm108|chrX"	0.00	0.00
"CCDS85863.1|Mm108|chrY"	0.00	0.00
"CCDS85889.1|Mm108|chrY"	0.00	0.00
"CCDS51159.1|Mm108|chr4"	0.00	0.00
"CCDS90363.1|Mm108|chr7"	0.00	0.00
"CCDS85848.1|Mm108|chrY"	0.00	0.00
"CCDS49897.1|Mm108|chr16"	0.00	0.00
"CCDS51756.1|Mm108|chr6"	0.00	0.00
"CCDS57037.1|Mm108|chr16"	0.00	0.00
"CCDS85866.1|Mm108|chrY"	0.00	0.00
"CCDS39468.1|Mm108|chr6"	0.00	0.00
"CCDS48913.1|Mm108|chr11"	0.00	0.00
"CCDS18114.1|Mm108|chr4"	0.00	0.00
"CCDS48915.1|Mm108|chr11"	0.00	0.00
"CCDS88040.1|Mm108|chr10"	0.00	0.00
"CCDS48452.1|Mm108|chr1"	0.00	0.00
"CCDS87927.1|Mm108|chr1"	0.00	0.00
"CCDS53038.1|Mm108|chrX"	0.00	0.00
"CCDS57043.1|Mm108|chr17"	0.00	0.00
"CCDS53040.1|Mm108|chrX"	0.00	0.00
"CCDS57042.1|Mm108|chr17"	0.00	0.00
"CCDS35653.1|Mm108|chr1"	0.00	0.00
"CCDS52499.1|Mm108|chr8"	0.00	0.00
"CCDS57744.1|Mm108|chrX"	0.00	0.00
"CCDS52261.1|Mm108|chr7"	0.00	0.00
"CCDS53186.1|Mm108|chrX"	0.00	0.00
"CCDS49374.1|Mm108|chr14"	0.00	0.00
"CCDS72357.1|Mm108|chrX"	0.00	0.00
"CCDS72358.1|Mm108|chrX"	0.00	0.00
"CCDS53046.1|Mm108|chrX"	0.00	0.00
"CCDS69921.1|Mm108|chr1"	0.00	0.00
"CCDS85892.1|Mm108|chrY"	0.00	0.00
"CCDS38844.1|Mm108|chr4"	0.00	0.00
"CCDS51352.1|Mm108|chr4"	0.00	0.00
"CCDS51353.1|Mm108|chr4"	0.00	0.00
"CCDS53072.1|Mm108|chrX"	0.00	0.00
"CCDS53073.1|Mm108|chrX"	0.00	0.00
"CCDS85913.1|Mm108|chrY"	0.00	0.00
"CCDS53231.1|Mm108|chrX"	0.00	0.00
"CCDS53193.1|Mm108|chrX"	0.00	0.00
"CCDS57309.1|Mm108|chr4"	0.00	0.00
"CCDS52913.2|Mm108|chr9"	0.00	0.00
"CCDS57361.1|Mm108|chr5"	0.00	0.00
"CCDS84086.1|Mm108|chr14"	0.00	0.00
"CCDS52335.1|Mm108|chr7"	0.00	0.00
"CCDS85869.1|Mm108|chrY"	0.00	0.00
"CCDS56872.1|Mm108|chr13"	0.00	0.00
"CCDS88034.1|Mm108|chr10"	0.00	0.00
"CCDS51558.1|Mm108|chr5"	0.00	0.00
"CCDS85904.1|Mm108|chrY"	0.00	0.00
"CCDS56727.1|Mm108|chr10"	0.00	0.00
"CCDS88036.1|Mm108|chr10"	0.00	0.00
"CCDS57363.1|Mm108|chr5"	0.00	0.00
"CCDS56919.1|Mm108|chr14"	0.00	0.00
"CCDS88044.1|Mm108|chr10"	0.00	0.00
"CCDS49953.1|Mm108|chr17"	0.00	0.00
"CCDS51562.1|Mm108|chr5"	0.00	0.00
"CCDS80342.1|Mm108|chr5"	0.00	0.00
"CCDS39389.1|Mm108|chr5"	0.00	0.00
