"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","gene_id","ccds_id"
"CCDS14829.1|Mm108|chr1",41.9944724253766,5.39212753874762,2.31687243014711,2.32733035646906,0.0199476892889879,0.0268450246401553,"Rpl7",19989,"CCDS14829.1"
"CCDS14904.1|Mm108|chr1",427.637063164791,8.7402430861606,2.09438021102767,4.17318834476188,3.0036643604859e-05,6.2983814690809e-05,"Rpl31",114641,"CCDS14904.1"
"CCDS15012.1|Mm108|chr1",4340.01761360062,12.0834851824016,2.18749100515891,5.52390165440876,3.31553095095712e-08,9.74838176341196e-08,"Crygc",12966,"CCDS15012.1"
"CCDS15037.1|Mm108|chr1",5346.40346431568,12.384352998787,2.10822623558519,5.87429982121888,4.24634242091097e-09,1.43579453107052e-08,"Igfbp5",16011,"CCDS15037.1"
"CCDS15069.1|Mm108|chr1",23.7037999036047,4.56704644779364,1.97746451694994,2.30954659800314,0.0209132690285446,0.0279359964060312,"Resp18",19711,"CCDS15069.1"
"CCDS15086.1|Mm108|chr1",105409.259703548,16.6856420808959,2.16215647910804,7.71712974621488,1.18978523808493e-14,1.0909725657694e-13,"Utp14b",195434,"CCDS15086.1"
"CCDS15127.1|Mm108|chr1",76.0686847868083,6.24923075622747,1.95961797002937,3.18900461814697,0.00142763596892202,0.00231242832091861,"Akp3",11648,"CCDS15127.1"
"CCDS15192.1|Mm108|chr1",233.163339436419,7.86519715939788,1.8494842353221,4.25264352579252,2.1126172897747e-05,4.51749388841152e-05,"Stk25",59041,"CCDS15192.1"
"CCDS15354.1|Mm108|chr1",193.960901134304,7.59962205133851,1.86055345396616,4.08460290949358,4.4152255763587e-05,9.01372466720775e-05,"Pdc",20028,"CCDS15354.1"
"CCDS15361.1|Mm108|chr1",55647.4053275471,15.7640268001203,2.0948769287193,7.52503719144858,5.27053196313324e-14,4.38670429546936e-13,"Trmt1l",98685,"CCDS15361.1"
"CCDS15494.1|Mm108|chr1",36.4104041788543,5.18627885059954,1.92306088496548,2.69688749386249,0.00699909129103038,0.010279371593752,"Arhgap30",226652,"CCDS15494.1"
"CCDS15509.1|Mm108|chr1",433.904894870072,8.7612350510272,1.83459337359857,4.77557325623713,1.79196041448634e-06,4.40659356471413e-06,"Dcaf8",98193,"CCDS15509.1"
"CCDS15528.1|Mm108|chr1",5.92594997590117,2.56704644779364,2.36600066062166,1.08497283644847,0.277933686271296,0.290274371182956,"Cadm3",94332,"CCDS15528.1"
"CCDS15572.1|Mm108|chr1",5653.86909960379,12.4650227664271,2.14173266814271,5.82006473162529,5.88248409764811e-09,1.90564305199259e-08,"Acbd3",170760,"CCDS15572.1"
"CCDS15892.1|Mm108|chr2",19.5442388628279,4.28867149582536,2.00456300593382,2.13945457595009,0.0323988709799509,0.0412418569415375,"BC005624",227707,"CCDS15892.1"
